text,label
Kampus ini sangat bagus dengan fasilitas lengkap,positif
Dosen-dosen sangat berpengalaman dan membantu,positif
Perpustakaan mempunyai koleksi buku yang luar biasa,positif
Program beasiswa sangat membantu mahasiswa berprestasi,positif
Lingkungan kampus nyaman dan asri,positif
Sistem pembelajaran online sangat efektif,positif
Mahasiswa mendapat banyak kesempatan berorganisasi,positif
Fasilitas lab sangat modern dan lengkap,positif
Layanan akademik sangat responsif dan membantu,positif
Kualitas pendidikan di sini sangat excellent,positif
Pengalaman belajar di kampus ini sangat memuaskan,positif
Staf administrasi sangat ramah dan profesional,positif
Prestasi mahasiswa di kompetisi nasional sangat membanggakan,positif
Karir alumni sangat sukses dan cemerlang,positif
Kampus memiliki green space yang sangat indah,positif
Program mentoring sangat membantu dalam akademik,positif
Fasilitas wifi sangat cepat dan stabil,positif
Keamanan kampus sangat terjamin dengan baik,positif
Makanan di kantin kampus enak dan bergizi,positif
Dosen-dosen mudah dihubungi dan siap membantu,positif
Jadwal kuliah sangat teratur dan fleksibel,positif
Program magang sangat membantu karir mahasiswa,positif
Infrastruktur kampus terus ditingkatkan,positif
Perpustakaan buka hingga malam sangat membantu,positif
Banyak beasiswa internasional tersedia,positif
Laboratorium dengan peralatan terbaru dan canggih,positif
Suasana kampus sangat mendukung pembelajaran,positif
Akreditasi kampus sangat baik,positif
Program kesehatan mahasiswa sangat lengkap,positif
Seni dan budaya sangat berkembang di kampus,positif
Fasilitas olahraga sangat lengkap dan terawat,positif
Pembelajaran praktik sangat aplikatif dan real-world,positif
Hubungan antar mahasiswa sangat solid,positif
Toilet dan mushola sangat bersih,positif
Event-event kampus selalu meriah dan berkesan,positif
Perpustakaan dilengkapi dengan digital resources,positif
Sistem registrasi online sangat mudah,positif
Beasiswa penuh tersedia untuk mahasiswa berprestasi,positif
Ruang kelas nyaman dengan AC dan proyektor,positif
Jaringan alumni yang kuat sangat menguntungkan,positif
Lokasi kampus strategis dekat dengan transportasi,positif
Panduan akademik sangat jelas dan detail,positif
Sistem penilaian transparan dan adil,positif
Koneksi industri kampus sangat kuat,positif
Inovasi dalam kurikulum selalu update,positif
Program pertukaran pelajar sangat bagus,positif
Fasilitas katering sangat terjangkau dan lezat,positif
Bimbingan karir sangat membantu menemukan pekerjaan,positif
Kampus ramah lingkungan dan berkelanjutan,positif
Mahasiswa mendapat kesempatan publikasi ilmiah,positif
Infrastruktur digital sangat canggih dan modern,positif
Kemitraan dengan universitas luar negeri sangat baik,positif
Kampus ini luar biasa dengan kualitas terbaik,positif
Suasana belajar yang positif membuat semangat tinggi,positif
Profesor mengajar dengan sangat passionate dan inspiratif,positif
Saya sangat puas dengan pendidikan di sini,positif
Fasilitas ini membantu kami berkembang lebih baik,positif
Komunitas kampus sangat supportif dan welcoming,positif
Pembelajaran collaborative sangat efektif sekali,positif
Saya sangat merekomendasikan kampus ini,positif
Prestasi akademik saya meningkat signifikan,positif
Dosen-dosen sangat inspiratif dan memberikan motivasi,positif
Program alumni networking sangat bermanfaat,positif
Kampus memberikan pengalaman belajar terbaik,positif
Fasilitas kesehatan kampus sangat lengkap,positif
Beasiswa yang diberikan sangat membantu finansial,positif
Pembelajaran fleksibel sangat sesuai dengan kebutuhan,positif
Kualitas instruktur sangat excellent dan qualified,positif
Kesempatan untuk berkembang sangat besar di sini,positif
Mentoring program sangat membantu perjalanan akademik,positif
Kehidupan kampus sangat dinamis dan fun,positif
Fasilitas penginapan mahasiswa sangat nyaman,positif
Program pengembangan diri sangat tersedia lengkap,positif
Kampus sangat mendukung inovasi dan kreativitas,positif
Sistem pembelajaran berbasis proyek sangat efektif,positif
Pengalaman di kampus mengubah hidup saya menjadi lebih baik,positif
Fasilitas transportation sangat memudahkan mobilitas,positif
Kemitraan dengan industri memberikan peluang karir,positif
Dosen sangat accessible dan supportive untuk konsultasi,positif
Penelitian di kampus berkontribusi pada komunitas,positif
Sistem administrasi sangat efisien dan transparan,positif
Kehidupan mahasiswa sangat beragam dan inclusive,positif
Program volunteer sangat bermakna dan berdampak,positif
Perpustakaan menyediakan akses ke journal internasional,positif
Kampus memberikan value yang luar biasa untuk investasi,positif
Fasilitas untuk disabilitas sangat accessible,positif
Program kesehatan mental sangat support dan non-judgmental,positif
Pembelajaran interdisiplin sangat memperkaya wawasan,positif
Kampus ini menghasilkan lulusan yang sangat kompeten,positif
Suasana akademis sangat competitive namun healthy,positif
Pelatihan soft skills sangat comprehensive dan useful,positif
Akomodasi untuk mahasiswa commuter sangat baik,positif
Kesempatan leadership sangat terbuka untuk semua,positif
Fasilitas gym dan olahraga sangat modern sekali,positif
Program CSR kampus sangat memberikan manfaat sosial,positif
Saya sangat bangga menjadi bagian dari kampus ini,positif
Kampus buruk dengan fasilitas yang sangat minimalis,negatif
Dosen kurang berpengalaman dan tidak membantu,negatif
Perpustakaan sangat sepi dengan koleksi terbatas,negatif
Program beasiswa jarang diberikan kepada mahasiswa,negatif
Lingkungan kampus sangat kotor dan tidak terawat,negatif
Sistem pembelajaran online sangat kacau,negatif
Mahasiswa jarang dapat kesempatan berorganisasi,negatif
Fasilitas lab sudah usang dan tidak layak,negatif
Layanan akademik sangat lambat dan tidak responsif,negatif
Kualitas pendidikan di sini sangat rendah,negatif
Pengalaman belajar di kampus ini sangat mengecewakan,negatif
Staf administrasi sangat tidak ramah,negatif
Prestasi mahasiswa di kompetisi sangat kecil sekali,negatif
Karir alumni tidak menjanjikan sama sekali,negatif
Kampus sangat gersang tanpa area hijau,negatif
Program mentoring sangat tidak efektif,negatif
Fasilitas wifi sangat lambat dan sering putus,negatif
Keamanan kampus sangat buruk dan rawan kriminal,negatif
Makanan di kantin sangat tidak lezat dan murahan,negatif
Dosen susah dihubungi dan tidak peduli dengan mahasiswa,negatif
Jadwal kuliah sangat kacau dan tidak konsisten,negatif
Program magang tidak membantu pengembangan karir,negatif
Infrastruktur kampus sangat tertinggal,negatif
Perpustakaan tutup terlalu cepat,negatif
Beasiswa internasional sangat langka,negatif
Laboratorium dengan peralatan ketinggalan zaman,negatif
Suasana kampus tidak mendukung pembelajaran,negatif
Akreditasi kampus sangat kurang bagus,negatif
Program kesehatan mahasiswa tidak ada,negatif
Seni dan budaya tidak berkembang di kampus,negatif
Fasilitas olahraga sangat terbatas dan rusak,negatif
Pembelajaran sangat teoritis tidak ada praktik,negatif
Hubungan antar mahasiswa sangat buruk,negatif
Toilet dan mushola sangat kotor dan bau,negatif
Event-event kampus sangat membosankan,negatif
Perpustakaan tidak memiliki digital resources,negatif
Sistem registrasi online sangat rumit dan error,negatif
Beasiswa tidak tersedia untuk mahasiswa berprestasi,negatif
Ruang kelas sangat panas tanpa AC,negatif
Jaringan alumni sangat lemah,negatif
Lokasi kampus jauh dari transportasi umum,negatif
Panduan akademik sangat membingungkan,negatif
Sistem penilaian tidak transparan dan tidak adil,negatif
Koneksi industri kampus sangat minim,negatif
Kurikulum tidak pernah di-update,negatif
Program pertukaran pelajar tidak ada,negatif
Fasilitas katering sangat mahal dan tidak lezat,negatif
Bimbingan karir sangat tidak membantu,negatif
Kampus tidak peduli lingkungan,negatif
Mahasiswa tidak dapat kesempatan publikasi,negatif
Infrastruktur digital sangat ketinggalan,negatif
Kemitraan dengan universitas luar negeri sangat kurang,negatif
Kampus ini sangat mengecewakan sekali,negatif
Suasana belajar yang buruk membuat semangat turun,negatif
